Asset ID,Holidays
1,1/2/17
1,1/26/17
1,4/14/17
1,4/17/17
1,4/25/17
1,6/12/17
1,12/25/17
1,12/26/17
2,1/2/17
2,1/26/17
2,4/14/17
2,4/17/17
2,4/25/17
2,6/12/17
2,12/25/17
2,12/26/17
3,1/2/17
3,2/17/17
3,2/20/17
3,4/13/17
3,4/14/17
3,5/19/17
3,5/22/17
3,6/30/17
3,7/3/17
3,8/4/17
3,8/7/17
3,9/1/17
3,9/4/17
3,10/6/17
3,10/9/17
3,11/10/17
3,11/13/17
3,12/22/17
3,12/25/17
3,12/26/17
3,12/29/17
4,4/14/17
4,4/17/17
4,5/1/17
4,10/3/17
4,12/25/17
4,12/26/17
5,1/2/17
5,4/14/17
5,12/25/17
6,1/2/17
6,1/3/17
6,1/9/17
6,3/20/17
6,5/3/17
6,5/4/17
6,5/5/17
6,7/17/17
6,8/11/17
6,9/18/17
6,10/9/17
6,11/3/17
6,11/23/17
7,1/2/17
7,4/14/17
7,12/25/17
8,1/2/17
8,1/16/17
8,2/20/17
8,4/14/17
8,5/29/17
8,7/4/17
8,9/4/17
8,11/23/17
8,11/24/17
8,12/25/17
9,1/2/17
9,1/16/17
9,2/20/17
9,4/14/17
9,5/29/17
9,7/4/17
9,9/4/17
9,11/23/17
9,11/24/17
9,12/25/17
10,1/2/17
10,1/16/17
10,2/20/17
10,4/14/17
10,5/29/17
10,7/4/17
10,9/4/17
10,11/23/17
10,11/24/17
10,12/25/17
11,1/2/17
11,1/16/17
11,2/20/17
11,4/14/17
11,5/29/17
11,7/4/17
11,9/4/17
11,11/23/17
11,11/24/17
11,12/25/17
12,1/2/17
12,1/16/17
12,2/20/17
12,4/14/17
12,5/29/17
12,7/4/17
12,9/4/17
12,11/23/17
12,11/24/17
12,12/25/17
13,1/2/17
13,1/16/17
13,2/20/17
13,4/14/17
13,5/29/17
13,7/4/17
13,9/4/17
13,11/23/17
13,11/24/17
13,12/25/17
14,1/2/17
14,1/16/17
14,2/20/17
14,4/14/17
14,5/29/17
14,7/4/17
14,9/4/17
14,11/23/17
14,11/24/17
14,12/25/17
15,1/2/17
15,1/16/17
15,2/20/17
15,4/14/17
15,5/29/17
15,7/4/17
15,9/4/17
15,11/23/17
15,11/24/17
15,12/25/17
16,1/2/17
16,1/16/17
16,2/20/17
16,4/14/17
16,5/29/17
16,7/4/17
16,9/4/17
16,11/23/17
16,11/24/17
16,12/25/17
17,1/2/17
17,1/16/17
17,2/20/17
17,4/14/17
17,5/29/17
17,7/4/17
17,9/4/17
17,11/23/17
17,11/24/17
17,12/25/17
18,1/2/17
18,1/16/17
18,2/20/17
18,4/14/17
18,5/29/17
18,7/4/17
18,9/4/17
18,11/23/17
18,11/24/17
18,12/25/17
19,1/2/17
19,1/26/17
19,4/14/17
19,4/17/17
19,4/25/17
19,6/12/17
19,12/25/17
19,12/26/17
20,1/2/17
20,2/20/17
20,4/14/17
20,5/22/17
20,7/3/17
20,8/7/17
20,9/4/17
20,10/9/17
20,12/25/17
20,12/26/17
21,4/14/17
21,4/17/17
21,5/1/17
21,12/25/17
21,12/26/17
22,4/14/17
22,4/17/17
22,5/1/17
22,6/5/17
22,10/31/17
22,12/25/17
22,12/26/17
23,1/2/17
23,1/30/17
23,1/31/17
23,4/4/17
23,4/14/17
23,4/17/17
23,5/1/17
23,5/3/17
23,5/30/17
23,10/2/17
23,10/5/17
23,12/25/17
23,12/26/17
25,1/2/17
25,1/3/17
25,1/9/17
25,3/20/17
25,5/3/17
25,5/4/17
25,5/5/17
25,7/17/17
25,8/11/17
25,9/18/17
25,10/9/17
25,11/3/17
25,11/23/17
27,4/14/17
27,4/17/17
27,5/1/17
27,12/25/17
27,12/26/17
28,4/14/17
28,4/17/17
28,5/1/17
28,12/25/17
28,12/26/17
31,1/2/17
31,1/25/17
31,1/26/17
31,1/27/17
31,1/30/17
31,1/31/17
31,2/1/17
31,2/27/17
31,2/28/17
31,4/3/17
31,4/4/17
31,4/14/17
31,5/1/17
31,5/10/17
31,5/29/17
31,5/30/17
31,6/26/17
31,8/9/17
31,9/1/17
31,10/4/17
31,10/9/17
31,10/10/17
31,10/18/17
31,12/25/17
32,1/2/17
32,4/14/17
32,12/25/17
33,1/2/17
33,1/16/17
33,2/20/17
33,4/14/17
33,5/29/17
33,7/3/17
33,7/4/17
33,9/4/17
33,11/23/17
33,11/24/17
33,12/25/17
34,1/2/17
34,1/16/17
34,2/20/17
34,4/14/17
34,5/29/17
34,7/3/17
34,7/4/17
34,9/4/17
34,11/23/17
34,11/24/17
34,12/25/17
35,1/2/17
35,1/16/17
35,2/20/17
35,4/14/17
35,5/29/17
35,7/3/17
35,7/4/17
35,9/4/17
35,11/23/17
35,11/24/17
35,12/25/17
36,1/2/17
36,1/16/17
36,2/20/17
36,4/14/17
36,5/29/17
36,7/3/17
36,7/4/17
36,9/4/17
36,11/23/17
36,11/24/17
36,12/25/17
37,1/2/17
37,4/14/17
37,5/29/17
37,7/4/17
37,9/4/17
37,11/23/17
37,11/24/17
37,12/25/17
38,1/2/17
38,1/16/17
38,2/20/17
38,4/14/17
38,5/29/17
38,7/4/17
38,9/4/17
38,11/23/17
38,12/25/17
39,1/2/17
39,4/14/17
39,5/29/17
39,7/4/17
39,9/4/17
39,11/23/17
39,11/24/17
39,12/25/17
40,1/2/17
40,1/16/17
40,2/20/17
40,4/14/17
40,5/29/17
40,7/4/17
40,9/4/17
40,11/23/17
40,12/25/17
43,1/2/17
43,1/16/17
43,2/20/17
43,4/14/17
43,5/29/17
43,7/3/17
43,7/4/17
43,9/4/17
43,11/23/17
43,11/24/17
43,12/25/17
44,1/2/17
44,1/16/17
44,2/20/17
44,4/14/17
44,5/29/17
44,7/3/17
44,7/4/17
44,9/4/17
44,11/23/17
44,11/24/17
44,12/25/17
45,1/2/17
45,1/16/17
45,2/20/17
45,4/14/17
45,5/29/17
45,7/3/17
45,7/4/17
45,9/4/17
45,11/23/17
45,11/24/17
45,12/25/17
46,1/2/17
46,1/16/17
46,2/20/17
46,4/14/17
46,5/29/17
46,7/3/17
46,7/4/17
46,9/4/17
46,11/23/17
46,11/24/17
46,12/25/17
47,1/2/17
47,1/16/17
47,2/20/17
47,4/14/17
47,5/29/17
47,7/3/17
47,7/4/17
47,9/4/17
47,11/23/17
47,11/24/17
47,12/25/17
48,1/2/17
48,1/16/17
48,2/20/17
48,4/14/17
48,5/29/17
48,7/3/17
48,7/4/17
48,9/4/17
48,11/23/17
48,11/24/17
48,12/25/17
49,1/2/17
49,1/16/17
49,2/20/17
49,4/14/17
49,5/29/17
49,7/3/17
49,7/4/17
49,9/4/17
49,11/23/17
49,11/24/17
49,12/25/17
50,1/2/17
50,2/17/17
50,2/20/17
50,4/13/17
50,4/14/17
50,5/19/17
50,5/22/17
50,6/30/17
50,7/3/17
50,8/4/17
50,8/7/17
50,9/1/17
50,9/4/17
50,10/6/17
50,10/9/17
50,11/10/17
50,11/13/17
50,12/22/17
50,12/25/17
50,12/26/17
50,12/29/17
51,1/2/17
51,1/3/17
51,1/9/17
51,3/20/17
51,5/3/17
51,5/4/17
51,5/5/17
51,7/17/17
51,8/11/17
51,9/18/17
51,10/9/17
51,11/3/17
51,11/23/17
52,1/2/17
52,4/14/17
52,12/25/17
53,1/2/17
53,4/14/17
53,4/17/17
53,5/1/17
53,5/29/17
53,8/28/17
53,12/25/17
53,12/26/17
56,1/2/17
56,1/2/17
56,1/16/17
56,2/20/17
56,4/14/17
56,5/29/17
56,7/4/17
56,9/4/17
56,11/23/17
56,12/25/17
57,1/2/17
57,1/2/17
57,1/16/17
57,2/20/17
57,4/14/17
57,5/29/17
57,7/4/17
57,9/4/17
57,11/23/17
57,12/25/17
58,1/2/17
58,1/16/17
58,2/20/17
58,4/14/17
58,5/29/17
58,7/3/17
58,7/4/17
58,9/4/17
58,11/23/17
58,11/24/17
58,12/25/17
59,4/14/17
59,4/17/17
59,5/1/17
59,6/5/17
59,10/3/17
59,10/31/17
59,12/25/17
59,12/26/17
68,4/14/17
68,4/17/17
68,5/1/17
68,12/25/17
68,12/26/17
60,1/2/17
60,1/3/17
60,1/9/17
60,3/20/17
60,5/3/17
60,5/4/17
60,5/5/17
60,7/17/17
60,8/11/17
60,9/18/17
60,10/9/17
60,11/3/17
60,11/23/17
61,1/2/17
61,1/16/17
61,2/20/17
61,4/14/17
61,5/29/17
61,7/3/17
61,7/4/17
61,9/4/17
61,11/23/17
61,11/24/17
61,12/25/17
63,1/2/17
63,1/16/17
63,2/20/17
63,4/14/17
63,5/29/17
63,7/3/17
63,7/4/17
63,9/4/17
63,11/23/17
63,11/24/17
63,12/25/17
64,1/2/17
64,1/16/17
64,2/20/17
64,4/14/17
64,5/29/17
64,7/3/17
64,7/4/17
64,9/4/17
64,11/23/17
64,11/24/17
64,12/25/17
65,1/2/17
65,1/16/17
65,2/20/17
65,4/14/17
65,5/29/17
65,7/3/17
65,7/4/17
65,9/4/17
65,11/23/17
65,11/24/17
65,12/25/17
67,1/2/17
67,1/16/17
67,2/20/17
67,4/14/17
67,5/29/17
67,7/3/17
67,7/4/17
67,9/4/17
67,11/23/17
67,11/24/17
67,12/25/17
69,1/2/17
69,1/16/17
69,2/20/17
69,4/14/17
69,5/29/17
69,7/3/17
69,7/4/17
69,9/4/17
69,11/23/17
69,11/24/17
69,12/25/17
71,1/2/17
71,1/16/17
71,2/20/17
71,4/14/17
71,5/29/17
71,7/3/17
71,7/4/17
71,9/4/17
71,11/23/17
71,11/24/17
71,12/25/17
72,1/2/17
72,1/16/17
72,2/20/17
72,4/14/17
72,5/29/17
72,7/3/17
72,7/4/17
72,9/4/17
72,11/23/17
72,11/24/17
72,12/25/17
62,1/2/17
62,1/27/17
62,1/30/17
62,1/31/17
62,2/1/17
62,2/2/17
62,4/3/17
62,4/4/17
62,4/14/17
62,5/1/17
62,5/10/17
62,5/29/17
62,5/30/17
62,6/26/17
62,8/9/17
62,9/1/17
62,10/2/17
62,10/3/17
62,10/4/17
62,10/5/17
62,10/6/17
62,10/18/17
62,12/25/17
66,1/2/17
66,4/14/17
66,5/29/17
66,7/4/17
66,9/4/17
66,11/23/17
66,11/24/17
66,12/25/17
70,1/2/17
70,1/26/17
70,4/14/17
70,4/17/17
70,4/25/17
70,6/12/17
70,12/25/17
70,12/26/17